symbol,strategy,signal_date,fill_date,qty,leg_side,leg_symbol,strike,option_type,entry_price,delta
SPY,long_strangle,2026-08-24,2026-08-25,2,buy,SPY260918C00781000,781.0,call,3.8784,0.24843408187042565
SPY,long_strangle,2026-08-24,2026-08-25,2,buy,SPY260918P00746000,746.0,put,4.3329,-0.25391384856647026
QQQ,long_strangle,2026-08-24,2026-08-25,1,buy,QQQ260930C00738000,738.0,call,6.3428,0.24935765095219053
QQQ,long_strangle,2026-08-24,2026-08-25,1,buy,QQQ260930P00679000,679.0,put,7.3932,-0.24968526748932163
AAPL,long_strangle,2026-08-24,2026-08-25,3,buy,AAPL260918C00325000,325.0,call,3.131,0.26221420590341965
AAPL,long_strangle,2026-08-24,2026-08-25,3,buy,AAPL260918P00297500,297.5,put,2.7371,-0.2350204306176591
MSFT,debit_call_spread,2026-08-24,2026-08-25,6,buy,MSFT260925C00515000,515.0,call,4.7975,0.26467976864194176
MSFT,debit_call_spread,2026-08-24,2026-08-25,6,sell,MSFT260925C00530000,530.0,call,2.8314,
NVDA,iron_condor,2026-08-24,2026-08-25,3,sell,NVDA260918P00195000,195.0,put,3.267,-0.25340520405582323
NVDA,iron_condor,2026-08-24,2026-08-25,3,buy,NVDA260918P00185000,185.0,put,1.6463,
NVDA,iron_condor,2026-08-24,2026-08-25,3,sell,NVDA260918C00227500,227.5,call,3.5145,0.23462441926436073
NVDA,iron_condor,2026-08-24,2026-08-25,3,buy,NVDA260918C00237500,237.5,call,2.0301,
